"year","region","rank","eci.value"
1994,"AP",57,0.1121855
1995,"AP",55,0.0627774
1996,"AP",60.5,0.09159225
1997,"AP",57,0.1142202
1998,"AP",53,0.191696
1999,"AP",54.5,0.1272373
2000,"AP",47.5,0.2630785
2001,"AP",55.5,0.06984705
2002,"AP",55.5,-0.000343499999999997
2003,"AP",63,-0.15322045
2004,"AP",64.5,-0.14465075
2005,"AP",61,-0.10878935
2006,"AP",61.5,-0.0718412
2007,"AP",61,-0.0266155
2008,"AP",66.5,-0.086054
2009,"AP",60,0.037487
2010,"AP",64.5,-0.00590499999999999
2011,"AP",56,0.0611763
2012,"AP",61,0.1913773
1994,"ARAB LEAGUE",73,-0.373765
1995,"ARAB LEAGUE",79,-0.515124
1996,"ARAB LEAGUE",78,-0.429485
1997,"ARAB LEAGUE",80,-0.512492
1998,"ARAB LEAGUE",77,-0.538029
1999,"ARAB LEAGUE",81,-0.564831
2000,"ARAB LEAGUE",74,-0.405426
2001,"ARAB LEAGUE",81,-0.565762
2002,"ARAB LEAGUE",89,-0.69874
2003,"ARAB LEAGUE",90,-0.665757
2004,"ARAB LEAGUE",78,-0.399928
2005,"ARAB LEAGUE",75,-0.307626
2006,"ARAB LEAGUE",80,-0.422257
2007,"ARAB LEAGUE",76,-0.344579
2008,"ARAB LEAGUE",83,-0.442448
2009,"ARAB LEAGUE",79.5,-0.3373345
2010,"ARAB LEAGUE",70,-0.172933
2011,"ARAB LEAGUE",78,-0.39197
2012,"ARAB LEAGUE",84,-0.274069
1994,"ASEAN",75,-0.4159995
1995,"ASEAN",74,-0.3187505
1996,"ASEAN",70.5,-0.2379385
1997,"ASEAN",70.5,-0.263867
1998,"ASEAN",70.5,-0.2669935
1999,"ASEAN",65.5,-0.1487715
2000,"ASEAN",64,-0.1113084
2001,"ASEAN",58.5,-0.0110692
2002,"ASEAN",57.5,-0.0495327
2003,"ASEAN",58.5,-0.07311505
2004,"ASEAN",55,0.01756345
2005,"ASEAN",56.5,0.00611035
2006,"ASEAN",55,0.05828625
2007,"ASEAN",60.5,-0.0481941
2008,"ASEAN",60,-0.0129303
2009,"ASEAN",69,-0.181814
2010,"ASEAN",69,-0.171946
